fcode	fsubgrp	fname	bunit	diarym	unitfo	dilfac	maxw	nut1	nut2	nut3	nut4	nut5	nut6	nut7	nut8	nut9	nut10	nut11	nut12	nut13	nut14	nut15	nut16	nut17	nut18	nut19	nut20	nut21	nut22	nut23	nut24	nut25	nut26	nut27	nut28	nut29	nut30	nut31	nut32	nut33	nut34	nut35	nut36	nut37	nut38	nut39	nut40	nut41	nut42	nut43	nut44	nut45	nut46	nut47	nut48	nut49	nut50	nut51	nut52	nut53	nut54	nut55
22	1R	FLOUR WHOLEMEAL	100	1	GRAMS	1	1	14	2.1	61.8	8.6	310	1318	12.7	2.2	63.9	0	3	340	38	120	320	3.9	.45	2.9	38	.6	0	0	0	.47	.09	8.2	0	1.4	.5	0	57	.8	7	.32	.24	.07	.95	0	0	.6	1	.5	0	0	0	9	3.14	0	0	0	0	3.9	0	2.1	2.17
23	1R	OATMEAL RAW	100	1	GRAMS	1	1	8.9	0	72.8	6.3	401	1698	12.4	8.7	72.8	0	33	370	55	110	380	4.1	.23	3.3	73	4.2	0	0	0	.5	.1	3.8	0	1.7	.1	0	60	1	20	1.52	3.16	.18	3.33	0	0	0	0	0	0	0	0	6.8	3.7	0	0	0	0	4.1	0	0	2.12
24	1R	OATS ROLLED QUIC	100	1	GRAMS	1	1	8.2	1.1	64.9	6.8	375	1587	11.2	9.2	66	0	9	350	52	110	38	3.8	.49	3.3	25	4.2	0	0	0	.9	.09	3.4	0	1.5	.3	0	60	1.2	21	1.61	3.35	.19	3.53	0	0	0	.8	0	0	.3	0	7.1	3.9	0	0	0	0	3.8	0	1.1	1.92
25	1A	PASTA CANELLONI	100	1	GRAMS	1	1	9.7	3.3	71.5	4.9	346	1473	11.9	2	74.8	0	10	230	23	48	200	1.8	.29	1.5	20	0	0	0	0	.49	.06	4.9	0	0	.11	0	37	.3	1	.26	.22	.06	.84	0	8	.3	.7	.1	0	1.5	.7	3.1	.8	0	0	0	0	1.8	0	3.3	2.08
26	1A	PASTA LASAGNA DR	100	1	GRAMS	1	1	9.7	3.3	71.5	4.9	346	1473	11.9	2	74.8	0	10	230	23	48	200	1.8	.29	1.5	20	0	0	0	0	.49	.06	4.9	0	0	.1	0	37	.3	1	.26	.22	.06	.84	0	8	.3	.7	.1	0	1.5	.7	3.1	.8	0	0	0	0	1.8	0	3.3	2.08
27	1A	PASTA MACARONI B	100	1	GRAMS	1	400	78.1	.3	18.2	1.5	86	365	3	.5	18.5	0	1	25	6	14	42	.5	.1	.5	5	0	0	0	0	.03	0	1.1	0	0	0	0	3	0	0	.08	.06	.02	.25	0	0	0	.1	0	0	.2	0	.9	.26	0	0	0	0	.5	0	.3	.52
28	1A	PASTA MACARONI R	100	1	GRAMS	1	1	9.7	2.2	73.6	5	348	1483	12	1.8	75.8	0	11	230	25	53	180	1.6	.3	1.5	20	0	0	0	0	.18	.05	5.4	0	0	.1	0	23	.3	1	.28	.21	.06	.83	0	0	.2	.6	.1	0	1.2	0	3.1	.86	0	0	0	0	1.6	0	2.2	2.1
29	1A	PASTA NOODLES DR	100	1	GRAMS	1	1	10.6	2.4	73.7	5.2	385	1646	11.7	6.2	76.1	0	2	230	23	47	160	1.5	.42	1.5	20	0	0	0	0	.37	.04	4.8	0	0	.1	0	18	.3	1	.79	.69	.17	2.62	0	0	.1	.7	.1	0	1.4	0	2.9	.79	0	0	0	0	1.5	0	2.4	2.05
30	1A	PASTA NOODLES BO	100	1	GRAMS	1	400	82.2	.2	12.8	1.2	62	264	2.4	.4	13	0	1	13	5	8	28	.3	.06	.3	4	0	0	0	0	.02	0	.8	0	0	0	0	2	.1	0	.05	.04	.01	.17	0	0	0	.1	0	0	.1	0	.7	.17	0	0	0	0	.3	0	.2	.42
31	1A	PASTA NOODLES EG	100	1	GRAMS	1	1	9.1	1.9	69.8	5	391	1656	12.1	8.2	71.7	0	180	260	28	43	200	1.5	.24	1.3	180	6	37	0	.3	.26	.1	4.7	0	.3	.1	0	29	.3	5	1.69	1.47	.17	2.8	0	30	.1	.6	0	0	1.1	0	2.9	.79	0	0	0	0	1.5	0	1.9	2.12
32	1A	PASTA NOODLES EG	100	1	GRAMS	1	400	84.3	.2	12.8	1	62	264	2.2	.5	13	0	15	23	5	8	31	.3	.06	.3	10	1	2	0	0	.01	.01	.7	0	.1	0	0	1	.1	1	.1	.09	.01	.17	0	6	0	.1	0	0	.1	0	.6	.16	0	0	0	0	.3	0	.2	.38
33	1A	PASTA SPAGHETTI	100	1	GRAMS	1	1	9.8	3.3	70.8	5.1	342	1456	12	1.8	74.1	0	3	250	25	56	190	2.1	.32	1.5	25	0	0	0	0	.22	.03	5.6	0	0	.2	0	34	.3	1	.23	.2	.05	.76	0	0	.3	.8	.1	0	1.8	.3	2.9	.94	0	0	0	0	2.1	0	3.3	2.1
34	1A	PASTA SPAGHETTI	100	1	GRAMS	1	400	73.8	.5	21.7	1.8	104	442	3.6	.7	22.2	0	0	24	7	15	44	.5	.1	.5	0	0	0	0	0	.01	.01	1.2	0	0	0	0	4	0	0	.09	.08	.02	.29	0	0	0	.1	0	0	.3	0	1.2	.26	0	0	0	0	.5	0	.5	.63
35	1A	PASTA SPAGHETTI	100	1	GRAMS	1	1	10.5	3.7	62.5	11.5	324	1379	13.4	2.5	66.2	0	130	390	31	120	330	3.9	.51	3	210	1	0	0	0	.99	.11	8.9	0	0	.4	0	40	.8	1	.36	.27	.08	1.08	0	0	.8	1.1	.4	0	1.2	0	8.4	2.64	0	0	0	0	3.9	0	3.7	2.35
36	1A	PASTA SPAGHETTI	100	1	GRAMS	1	400	69.1	1.3	21.9	4	113	485	4.7	.9	23.2	0	45	140	11	42	110	1.4	.18	1.1	73	0	0	0	0	.21	.02	2.3	0	0	.1	0	7	.2	0	.12	.09	.02	.35	0	0	.3	.4	.1	0	.4	0	3.5	.9	0	0	0	0	1.4	0	1.3	.82
37	1A	PASTA VERMICELLI	100	1	GRAMS	1	1	11.7	4.5	82.5	5.6	365	1555	8.7	.4	87	0	8	140	22	42	92	2	.29	1.5	46	6	0	0	0	.19	.05	3.4	0	0	.2	0	34	.3	1	.07	.06	.01	.22	0	0	.3	.7	.1	0	1.6	1.8	3.1	.8	0	0	0	0	2	0	4.5	1.52
38	1A	PASTA MACARONI C	100	1	GRAMS	1	400	74.8	1.9	14.5	.8	138	579	4.5	6.5	16.4	0	560	66	100	11	140	.3	.04	.1	850	6	110	74	.34	0	.06	1.3	0	.5	.1	.6	6	.3	2	3.34	2.23	.07	.22	0	8	.1	.9	.1	.6	.2	0	.4	.1	74	0	0	0	.3	0	1.9	.72
39	1A	PASTA RAVIOLI CA	100	1	GRAMS	1	400	79.9	2.2	8.1	1	70	297	3	2.2	10.3	0	490	150	16	12	43	.8	.08	.5	760	25	0	103	0	.05	.04	1.5	0	.1	.1	0	3	.4	0	.92	1.04	.01	.04	.1	6	.5	.7	.7	0	.3	0	.9	.16	100	0	6	0	.8	1.5	.7	.48
40	1A	PASTA SPAGHETTI	100	1	GRAMS	1	400	79.1	2.5	9.7	1.4	86	362	3.3	3	12.2	0	410	140	18	14	45	.7	.03	.4	670	3	0	290	0	.07	.03	1.5	0	.4	.1	0	8	.4	0	1.25	1.42	.01	.06	.13	4	.5	1	.7	0	.2	0	.9	.16	290	0	0	0	.7	1.8	.7	.52
41	1A	PASTA-SPAGHETTI	100	1	GRAMS	1	400	81.9	5.5	8.6	2.8	64	273	1.9	.4	14.1	0	420	110	12	10	29	.3	.06	.3	500	2	0	103	0	.07	.01	1	0	0	.1	0	5	0	0	.08	.06	0	.24	0	0	1	2.9	1.1	0	.4	0	.7	.13	100	0	6	0	.3	3.8	1.6	.33
42	1B	RICE BASMATI BOI	100	1	GRAMS	1	300	69.9	0	29.3	.8	122	519	2.5	.2	29.3	0	2	37	6	4	24	.4	.06	.4	9	5	0	0	0	.02	.01	1	0	0	.1	0	7	.2	1	.04	.05	0	.07	0	0	0	0	0	0	0	0	.2	.29	0	0	0	0	.4	0	0	.42
43	1B	BASMATI RICE DRY	100	1	GRAMS	1	1	10.5	0	87.8	2.2	363	1549	7.4	.5	87.8	0	6	110	19	13	73	1.3	.18	1.3	27	14	0	0	0	.08	.02	3	0	.1	.3	0	20	.6	3	.11	.13	0	.18	0	0	0	0	0	0	0	0	.5	.87	0	0	0	0	1.3	0	0	1.24
44	1B	BASMATI FRIED IN	100	1	Grams	1	300	56.05	0	25.7	.7	264.73	1103.68	2.19	17.7	25.7	0	1.75	32.45	5.26	3.5	21.05	.35	.05	.35	7.89	6.31	0	0	0	.01	0	.87	0	3.89	.08	0	6.14	.17	.87	1.61	8.55	1.38	5.11	.19	0	0	0	0	0	0	0	.17	.25	0	0	0	0	.35	0	0	.36
45	1B	RICE BASMATI FRI	100	1	Grams	1	300	56.22	0	25.7	.7	263.33	1097.89	2.19	17.54	25.7	0	2.63	33.15	5.43	3.5	23.33	.38	.06	.35	8.24	5.43	0	0	0	.01	0	.87	0	.05	.08	0	6.14	.17	.87	9.23	6.86	.11	.37	0	10.52	0	0	0	0	0	0	.17	.25	0	0	0	0	.38	0	0	.36
46	1B	RICE BASMATI FRI	100	1	Grams	1	300	56.22	0	25.7	.7	263.33	1097.89	2.19	17.54	25.7	0	2.1	32.63	5.43	3.68	21.57	.36	.05	.35	8.59	5.43	0	0	0	.01	0	.87	0	.38	.08	0	6.14	.17	.87	7.12	7.65	.1	1.51	0	12.28	0	0	0	0	0	0	.17	.25	0	0	0	0	.36	0	0	.36
47	1B	RICE BASMATI FRI	100	1	Grams	1	300	56.05	0	25.7	.7	264.03	1103.15	2.21	17.7	25.7	0	1.92	33.33	5.78	3.5	21.05	.35	.05	.35	7.89	6.31	0	0	0	.01	.01	.87	0	6.21	.08	0	6.14	.17	.87	2.26	4.13	.38	9.94	0	0	0	0	0	0	0	0	.17	.25	0	0	0	0	.35	0	0	.37
48	1B	RICE BROWN DRIED	100	1	GRAMS	1	1	13.9	1.3	80	3.8	357	1518	6.7	2.8	81.3	0	3	250	10	110	310	1.4	.85	1.8	230	2	0	0	0	.59	.07	6.8	0	.8	.68	0	49	1.7	0	.62	.54	.78	.03	0	0	.5	.8	0	0	0	0	1.9	2.3	0	0	0	0	1.4	0	1.3	1.12
49	1B	RICE BROWN BOILE	100	1	GRAMS	1	300	66	.5	31.6	1.5	141	597	2.6	1.1	32.1	0	1	99	4	43	120	.5	.33	.7	91	1	0	0	0	.14	.02	1.9	0	.3	.2	0	10	.6	0	.25	.21	.32	.01	0	0	.2	.3	0	0	0	0	.8	.9	0	0	0	0	.5	0	.5	.43
50	1B	RICE BROWN FRIED	100	1	Grams	1	300	52.63	.43	27.71	1.31	281.4	1172.1	2.28	18.49	28.15	0	.87	86.84	3.5	37.71	105.26	.43	.28	.61	79.82	2.8	0	0	0	.12	.01	1.66	0	4.15	.17	0	8.77	.52	0	1.79	8.69	1.66	5.06	.19	0	.17	.26	0	0	0	0	.7	.78	0	0	0	0	.43	0	.43	.38
51	1B	RICE BROWN FRIED	100	1	Grams	1	300	52.8	.43	27.71	1.31	280	1166.31	2.28	18.33	28.15	0	1.75	87.54	3.68	37.71	107.54	.47	.3	.61	80.17	1.92	0	0	0	.12	.01	1.66	0	.31	.17	0	8.77	.52	0	9.41	7	.39	.32	0	10.52	.17	.26	0	0	0	0	.7	.78	0	0	0	0	.47	0	.43	.38
52	1B	RICE BROWN FRIED	100	1	Grams	1	300	52.8	.43	27.71	1.31	280	1166.31	2.28	18.33	28.15	0	1.22	87.01	3.68	37.89	105.78	.45	.29	.61	80.52	1.92	0	0	0	.12	.01	1.66	0	.64	.17	0	8.77	.52	0	7.3	7.79	.38	1.46	0	12.28	.17	.26	0	0	0	0	.7	.78	0	0	0	0	.45	0	.43	.38
53	1B	RICE BROWN FRIED	100	1	Grams	1	300	52.63	.43	27.71	1.31	280.7	1171.57	2.29	18.49	28.15	0	1.05	87.71	4.03	37.71	105.26	.43	.28	.61	79.82	2.8	0	0	0	.12	.02	1.66	0	6.47	.17	0	8.77	.52	0	2.44	4.27	.66	9.89	0	0	.17	.26	0	0	0	0	.7	.78	0	0	0	0	.43	0	.43	.38
54	1B	RICE EASY COOK D	100	1	GRAMS	1	1	11.4	0	85.8	2.7	383	1630	7.3	3.6	85.8	0	4	150	51	32	150	.5	.37	1.8	10	14	0	0	0	.41	.02	5.8	0	.1	.3	0	20	.6	3	.79	.9	0	1.26	0	0	0	0	0	0	0	0	.4	1.2	0	0	0	0	.5	0	0	1.22
55	1B	RICE EASY COOK B	100	1	GRAMS	1	300	68	0	30.9	1	138	587	2.6	1.3	30.9	0	1	54	18	11	54	.2	.13	.7	4	5	0	0	0	.01	0	1.5	0	0	.1	0	4	.1	1	.28	.32	0	.46	0	0	0	0	0	0	0	0	.1	.2	0	0	0	0	.2	0	0	.43
56	1B	RICE FLAKES DRIE	100	1	GRAMS	1	1	12.6	.2	77.5	2.2	329	1400	6.6	1.2	77.7	0	6	110	20	13	100	8	.18	1.3	27	14	0	0	0	.21	.05	5.5	0	.1	.3	0	20	.6	3	.26	.3	0	.42	0	0	.1	.1	0	0	0	0	.5	.87	0	0	0	0	8	0	.2	1.1
57	1B	RICE WHITE LONG	100	1	GRAMS	1	1	11.7	0	86.8	2.2	361	1536	6.5	1	86.8	0	6	110	4	13	100	.5	.18	1.3	27	14	0	0	0	.08	.02	3	0	.1	.3	0	20	.6	3	.22	.25	0	.35	0	0	0	0	0	0	0	0	.5	.87	0	0	0	0	.5	0	0	1.09
58	1B	RICE WHITE LONG	100	1	GRAMS	1	300	69.9	0	29.6	.8	123	522	2.2	.3	29.6	0	2	38	1	4	34	.2	.06	.5	9	5	0	0	0	.01	.01	.8	0	0	.1	0	3	.2	1	.06	.08	0	.11	0	0	0	0	0	0	0	0	.2	.3	0	0	0	0	.2	0	0	.36
59	1B	RICE WHITE FRIED	100	1	Grams	1	300	56.05	0	25.96	.7	265.61	1106.31	1.92	17.78	25.96	0	1.75	33.33	.87	3.5	29.82	.17	.05	.43	7.89	6.31	0	0	0	0	0	.7	0	3.89	.08	0	2.63	.17	.87	1.63	8.57	1.38	5.14	.19	0	0	0	0	0	0	0	.17	.26	0	0	0	0	.17	0	0	.32
60	1B	RICE WHITE WITH	100	1	Grams	1	300	56.05	0	25.96	.7	264.91	1105.78	1.94	17.78	25.96	0	1.92	34.21	1.4	3.5	29.82	.17	.05	.43	7.89	6.31	0	0	0	0	.01	.7	0	6.21	.08	0	2.63	.17	.87	2.28	4.15	.38	9.98	0	0	0	0	0	0	0	0	.17	.26	0	0	0	0	.17	0	0	.32
61	1B	WHITE RICE FRIED	100	1	Grams	1	300	56.22	0	25.96	.7	264.21	1100.52	1.92	17.63	25.96	0	2.63	34.03	1.05	3.5	32.1	.21	.06	.43	8.24	5.43	0	0	0	0	0	.7	0	.05	.08	0	2.63	.17	.87	9.25	6.89	.11	.41	0	10.52	0	0	0	0	0	0	.17	.26	0	0	0	0	.21	0	0	.32
62	1B	RICE WHITE FRIED	100	1	Grams	1	300	56.22	0	25.96	.7	264.21	1100.52	1.92	17.63	25.96	0	2.1	33.5	1.05	3.68	30.35	.19	.05	.43	8.59	5.43	0	0	0	0	0	.7	0	.38	.08	0	2.63	.17	.87	7.14	7.68	.1	1.55	0	12.28	0	0	0	0	0	0	.17	.26	0	0	0	0	.19	0	0	.32
63	9A	RICE WHITE BOILE	100	1	Grams	1	310	77.97	5.48	7.93	.2	108.45	454.82	4.25	4.54	13.42	0	63.42	170.09	131.82	13.76	114.31	.16	.01	.57	116.78	26.42	58.87	24	.03	.03	.17	.73	.91	.1	.13	.45	5.94	.34	2.45	2.82	1.14	.03	.1	.21	16	0	0	0	5.48	0	0	.04	.07	24	0	0	0	.16	0	5.48	.67
64	9A	RICE WHITE MILK	100	1	Grams	1	310	70.98	14.04	7.39	.18	134.52	566.49	3.95	4.23	21.43	0	59.47	158.79	123.15	12.89	106.42	.15	.02	.54	108.72	24.6	54.81	22.34	.03	.03	.16	.68	.85	.1	.12	.42	5.53	.31	2.28	2.62	1.06	.03	.09	.2	14.89	0	8.93	0	5.1	0	0	.04	.07	22.34	0	0	0	.14	8.93	5.1	.62
65	9A	RICE WHITE IN SE	100	1	Grams	1	310	80.26	5.71	7.93	.2	85.59	363.37	4.36	1.92	13.65	0	63.42	181.52	137.54	13.76	117.74	.16	.01	.57	116.78	11.56	24	10.28	.01	.03	.18	.78	.91	0	.13	.45	6.4	.34	2.45	1.16	.51	0	.03	.09	8	0	0	0	5.71	0	0	.04	.07	10.28	0	0	0	.16	0	5.71	.68
66	9A	WHITE RICE SEMI	100	1	Grams	1	310	73.11	14.26	7.39	.18	113.23	481.35	4.06	1.78	21.65	0	59.47	169.43	128.48	12.89	109.62	.15	.02	.54	108.72	10.77	22.34	9.57	.01	.03	.17	.73	.85	0	.12	.42	5.95	.31	2.28	1.08	.47	0	.02	.08	7.44	0	8.93	0	5.32	0	0	.04	.07	9.57	0	0	0	.14	8.93	5.32	.63
67	9A	RICE WHITE BOILE	100	1	Grams	1	310	81.75	5.71	7.93	.2	70.73	300.5	4.36	.2	13.65	0	63.42	181.52	137.54	14.9	117.74	.16	.01	.57	116.78	11.56	1.14	0	0	.03	.18	.78	.91	0	.13	.45	6.4	.34	2.45	.13	.02	0	.03	0	2.28	0	0	0	5.71	0	0	.04	.07	0	0	0	0	.16	0	5.71	.68
68	9A	RICE WHITE SKIM	100	1	Grams	1	310	74.49	14.26	7.39	.18	99.4	422.81	4.06	.19	21.65	0	59.47	169.43	128.48	13.96	109.62	.15	.02	.54	108.72	10.77	1.06	0	0	.03	.17	.73	.85	0	.12	.42	5.95	.31	2.28	.12	.02	0	.02	0	2.12	0	8.93	0	5.32	0	0	.04	.07	0	0	0	0	.14	8.93	5.32	.63
69	1B	SAVOURY RICE, DR	100	1	GRAMS	1	1	8.9	12.4	51.6	3.8	385	1625	11.6	10.9	64	0	1310	644	181	76	209	4.1	.36	1.43	2140	15	0	0	0	.45	.06	7	0	.1	.4	0	25	.6	3	1	5.26	.89	3.15	.08	0	1.3	4	1.9	.3	.9	4	4.1	1.03	0	0	0	0	4.05	6.2	6.2	1.86
70	1B	RICE SAVOURY (RE	100	1	GRAMS	1	300	68.7	1.2	25.1	1.3	142	599	2.9	3.5	26.3	0	490	110	25	15	67	.5	.05	.4	860	5	0	0	0	.1	.01	1.7	0	0	.1	0	4	.2	1	.33	1.71	.29	1.02	.03	0	.1	.9	.2	0	.1	0	1.4	.42	0	0	0	0	.5	0	1.2	.48
71	1R	SAGO DRIED	100	1	GRAMS	1	1	12.6	0	94	.6	355	1515	.2	.2	94	0	3	5	10	3	29	1.2	.03	1.3	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	.04	.06	0	.08	0	0	0	0	0	0	0	0	.5	.11	0	0	0	0	1.2	0	0	.03
72	1R	SEMOLINA, DRY	100	1	GRAMS	1	1	14	0	77.5	3.6	350	1489	10.7	1.8	77.5	0	12	170	18	32	110	1	.15	.6	71	0	0	0	0	.1	.03	2.9	0	0	.1	0	22	.3	1	.23	.2	.05	.76	0	0	0	0	0	0	0	0	2.1	.6	0	0	0	0	1	0	0	1.87
73	1R	TAPICCA, DRY	100	1	GRAMS	1	1	12.2	0	95	.6	359	1531	.4	.1	95	0	4	20	8	2	30	.3	.07	1.3	13	14	0	0	0	0	0	.1	0	0	0	0	0	0	0	.02	.03	0	.04	0	0	0	0	0	0	0	0	.4	.11	0	0	0	0	.3	0	0	.07
